model_id,model_name,balanced_accuracy,f1,minority_recall,roc_auc,average_precision,post_budget
frozen_text_mean_std,Frozen Text,0.6293009897111683,0.42847014305755793,0.5865515690496165,0.6747383002800111,0.417155878888129,
frozen_text_real_emotion_controls,Frozen Text + Real Emotion + Controls,0.6288896758018369,0.4417455607178758,0.5944964453425792,0.6741878610850488,0.4207599650336376,
frozen_text_shuffled_emotion,Frozen Text + Shuffled Emotion,0.6274365235831221,0.4411365079687809,0.5998593565112701,0.6740504157469644,0.4161569191492874,
frozen_text_controls,Frozen Text + Controls,0.6260175117945029,0.44418468810099754,0.6022428917182887,0.6723818289363013,0.41901180232127455,
frozen_text_real_emotion,Frozen Text + Real Emotion,0.623268857768567,0.43714198479201494,0.5768966897123627,0.6737663806175952,0.41915526341258535,
frozen_emotion_only,Emotion Only,0.56514158801764,0.3942384949282921,0.5639316260508658,0.582077667453108,0.33701481121756094,
