model_id,model_name,balanced_accuracy,f1,minority_recall,roc_auc,average_precision
linear_tfidf_author,TF-IDF Logistic,0.6511544765499124,0.46092405949759,0.590422639882416,0.7099539534920992,0.46431259419202076
stage2_text_emotion_gru,GRU Text + Emotion,0.6222955994715286,0.43355872402885054,0.590395640740603,0.6832730946726128,0.4450820047876585
stage2_text_gru_sqrt,GRU Text,0.596418913743626,0.42253583598897193,0.6317747872095698,0.6591089663530967,0.4131610572398877
stage2_text_gru_inverse,GRU Text Inverse Weight,0.5854653645971019,0.3971963381404857,0.5545505262766393,0.6264979547591519,0.38208727319304797
majority_author,Majority,0.5,0.0,0.0,0.5,0.2688739603326935
