target,threshold_objective,selected_threshold,validation_objective_score,test_balanced_accuracy,test_f1
target_E,balanced_accuracy,0.3499999999999999,0.6465753792848992,0.6119173370102756,0.4004282655246253
target_E,f1,0.3499999999999999,0.4387646432374867,0.6119173370102756,0.4004282655246253
target_S,balanced_accuracy,0.21499999999999997,0.6117160833460695,0.5652067411326671,0.1485148514851485
target_S,f1,0.22499999999999998,0.1951219512195122,0.5640995492847345,0.16875
target_T,balanced_accuracy,0.4549999999999999,0.7046897448176781,0.6929315773818681,0.6368542791056284
target_T,f1,0.4499999999999999,0.6570397111913358,0.6993317743110044,0.652046783625731
target_J,balanced_accuracy,0.44499999999999995,0.6157649124428222,0.6191267423613034,0.5484375
target_J,f1,0.43499999999999994,0.5969989281886388,0.5729124998717909,0.5899893503727369
