max_length,n_posts,n_authors,median_tokens,p90_tokens,p95_tokens,p99_tokens,share_posts_over_max,share_authors_with_any_truncation
128,1649102,10414,22.0,97.0,147.0,295.0,0.06369223977655718,0.904167466871519
256,1649102,10414,22.0,97.0,147.0,295.0,0.014595216063045221,0.5962166314576531
